ID,Type,Tag,Diffcult,Question,Option1,Option2,Option3,Option4,Answer,AnswerNO
序号,类型,标签,难度,问题,选项1,选项2,选项3,选项4,答案解析,4
1,1,,1,世界上最大的宫殿群是：,故宫,白宫,爱丽舍宫,,世界有五大宫殿，分别是中国故宫、法国的凡尔赛宫、英国的白金汉宫、俄罗斯的克里姆林宫和美国的白宫。传说修建故宫时，为了使皇帝能够享受最奢华的生活、又不会犯了忌讳超过神所住宫殿的数量，共建了9999间半的房子。经过现任故宫博物院院长单霁翔逐间走访，共有9371间。,3
2,1,,1,老张家着火了，消防队及时赶到扑灭了火，消防队应该收多少钱？,不收费,收费,收取部分费用,,现役消防队救火不收费，消防是人民的队伍，是为人民服务的队伍，担负着防火、灭火、救援、救灾等等任务。但是着火原因需要调查清楚，根据消防法进行责任分配和处罚。,3
3,1,,1,老张说刮痧可以治病，而且简单方便，老赵不信他，老张说的对吗？,对,不对,不全对,,刮痧是以中医经络腧穴理论为指导，通过特制的刮痧器具和相应的手法，蘸取一定的介质，在体表进行反复刮动、摩擦，使皮肤局部出现红色粟粒状，或暗红色出血点等“出痧”变化，从而达到活血透痧的作用。因其简、便、廉、效的特点，临床应用广泛，适合医疗及家庭保健。,3
4,1,,1,我国有句俗语说“隔着门缝看人，把人看扁了”时，而事实上隔着门缝看人时：,和原来一样,比原来扁了,比原来胖了,,这是人们的一种误解，认为门缝是扁的，通过它就把人看的扁了。实际上，根据光学原理，看到的仍是原人，形状没有发生变化。,3
5,1,,1,《本草纲目》的作者是,李时珍,孙思邈,神农,,《本草纲目》，药学著作，五十二卷，明·李时珍撰，刊于1590年，书中不仅考证并修正了过去本草学中的若干错误，综合了大量科学资料，提出了较科学的药物分类方法，融入先进的生物进化思想，并记载了丰富的临床实践。,3
6,1,,1,中国最热的地方在哪里？,吐鲁番盆地,南沙群岛,武汉,,武汉、南京、重庆、南昌虽然被称为“四大火炉”，但中国最热的地方是吐鲁番。吐鲁番位于新疆天山东部山间盆地中，盆地令热气积聚，难以与外界空气交换，所以异常炎热。历史上吐鲁番最高温度曾达到47．7摄氏度。当地民间流传着“沙窝里蒸熟鸡蛋、石头上烤熟面饼”的说法。,3
7,1,,1,杜鹃鸟不做窝，她把蛋下到其他鸟的鸟巢里对吗？,对,不对,不一定,,当雌杜鹃快要产蛋的时候，就开始在丛林间飞来飞去，他们不会自己孵化并喂养自己的幼鸟，而是为自己即将出世的幼鸟寻觅合适的寄宿住所。一旦发现云雀、画眉等鸟类孵蛋的巢窝，便趁它们离巢外出时，偷偷将自己的蛋产在巢窝里，并把原来巢窝里的蛋踢出。,3
8,1,,1,冬季奥运会如何计算届次？,4年1次,2年1次,3年一次,,奥林匹克起源于希腊，而奥林匹克运动会的周期就源于希腊人对金星的崇拜。金星的运行周期为8年，令人赞叹的是金星在天空的轨迹是一个正五边形，也就是说金星每8年就会在天空划出一个正五边形。希腊人发现这个规律后表现的非常崇拜，就将奥林匹克运动会的周期定位8年。现代的奥林匹克运动会的举办周期取的是金星运动的半个周期。,3
9,1,,1,下列天体中，距离地球最近的恒星是：,太阳,比邻星,月球,,恒星是由引力凝聚在一起的一颗球型发光等离子体，太阳就是最接近地球的恒星。月球只是地球的卫星。比邻星是距离太阳系最近的一颗恒星（4.22光年）。,3
10,1,,1,现存的陆地上最高的动物是？,长颈鹿,老虎,狮子,,长颈鹿是一种生长在非洲的反刍偶蹄动物，拉丁文名字的意思是“长着豹纹的骆驼”。它们是世界上现存最高的陆生动物。站立时由头至脚可达6-8米，体重约700千克，一般刚出生的幼仔就有1.5米高。,3
11,1,,1,世界上历史最长的树，有活化石之称的是？,银杏树,松树,樱花树,,银杏树又名白果树，生长较慢，寿命极长，是树中的老寿星。银杏树具有欣赏，经济，药用价值，全身是“宝”。银杏树是第四纪冰川运动后遗留下来的最古老的裸子植物，是世界上十分珍贵的树种之一，因此被当作植物界中的“活化石”。,3
12,1,,1,玫瑰花属于哪个科？,蔷薇科,牡丹科,月季科,,玫瑰原产中国，栽培历史悠久。在植物分类学上是一种蔷薇科蔷薇属灌木(Rosarugosa)，在日常生活中是蔷薇属一系列花大艳丽的栽培品种的统称，这些栽培品种亦可称做月季或蔷薇。玫瑰果实可食，无糖，富含维他命C，常用於香草茶、果酱、果冻、果汁和麪包等,3
13,1,,1,我们吃的胡萝卜属于植物的哪一个器官？,根,茎,叶,,胡萝卜供食用的部分是肥嫩的肉质直根。胡萝卜的品种很多，按色胡萝卜泽可分为红、黄、白、紫等数种，我国栽培最多的是红、黄两种。,3
14,3,,1,"被称为""世界杂交水稻之父""的我国科学家是？",袁隆平,袁咏仪,袁世凯,,袁隆平，男，1930年9月1日农历庚午年七月初九，生于北平（今北京），汉族，江西省德安县人，无党派人士，现在居住在湖南长沙。他是中国杂交水稻育种专家，中国工程院院士，被世界同行誉为“杂交水稻之父”。,3
15,1,,1,松子是什么的果实？,松树,梨树,柏树,,松子是松树的种子，又称海松子。松子含脂肪、蛋白质、碳水化合物等。松子既是重要的中药，久食健身心，滋润皮肤，延年益寿，也有很高的食疗价值。,3
16,1,,1,表示人或者事物、时间、处所、方位等名称的词被称为？,名词,动词,副词,,名词是词性的一种，也是实词的一种，是指待人、物、事、时、地、情感、概念等实体或抽象事物的词。名词可以独立成句。在短语或句子中通常可以用代词来替代。,3
17,1,,1,零到底是正数还是负数？,都不是,正数,都是,,0既不是正数也不是负数，而是正数和负数之间的一个数。当某个数X大于0（X>0）时，称为正数；反之，当X小于0（X<0）时，称为负数。0又是介于-1和+1之间的整数。,3
18,3,,1,吉他有几个弦？,6根,4根,5根,,吉他，又译为结他或六弦琴。属于弹拨乐器，通常有六条弦，形状与提琴相似。吉他在流行音乐、摇滚音乐、蓝调、民歌、佛朗明哥中，常被视为主要乐器。而在古典音乐的领域里，吉他常以独奏或二重奏的型式演出；当然，在室内乐和管弦乐中，吉他亦扮演着相当程度的陪衬角色。,3
19,1,,1,中华人民共和国国歌《义勇军进行曲》的作曲者是？,聂耳,田汉,施光南,,《义勇军进行曲》由田汉作词、聂耳作曲，诞生于抗击日本帝国主义侵略的战争年代，1949年成为中华人民共和国国歌，象征着在任何时候任何地点，为捍卫国家和民族的尊严，中华民族的坚强斗志和不屈精神永远不会被磨灭。,3
20,1,,1,以迅速而准确的观察力，运用简练的线条扼要的描画出对象的神态，形体，动作等特征的一种画法被称为？,速写,素描,漫画,,速写，顾名思义是一种快速的写生方法。速写是中国原创词汇，属于素描的一种。速写同素描一样，不但是造型艺术的基础，也是一种独立的艺术形式。在中国素描和中国白描结合产生独特的以线为主线面结合的造型方法，为了同素描概念区分出来一般有两种定义一绘画术语。用简练的线条在短时间内扼要地画出人和物体的动态或静态形象。一般用于创作的素材。,3
